invoiceno,stokawal,stokakhir,namabarang,jenisbarang,kodebarang,kuantitasbarang,month,day,year,cluster
787136,10,9,Urug,15,10005B,1,12,9,2022,Laris
787136,50,47,Sirih,10,10023B,3,12,9,2022,Laris
787136,44,32,"Readymix Beton K500, Tanpa Pompa",27,12311A,12,12,9,2022,Sangat Laris
787136,492,488,Holder,20,21311C,4,12,9,2022,Sangat Laris
787136,7,5,Liat,26,10021B,2,12,9,2022,Sangat Laris
787136,477,457,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,20,12,9,2022,Laris
787136,394,244,Warna 8cm,32,10022B,150,12,9,2022,Sangat Laris
787136,396,386,Aica Aibon,23,20392C,10,12,9,2022,Sangat Laris
787136,100,95,"Tembok Sun Eui dia. 1/2""",6,10031B,5,12,9,2022,Laris
787136,88,76,papan (tebal 2-4 cm dan lebar 10-13 cm),12,10009B,12,12,9,2022,Laris
787136,29,24,Pintu Unilon Standard,25,19316A,5,12,9,2022,Sangat Laris
787136,122,119,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,3,12,9,2022,Sangat Laris
787136,22,19,Pintar Facil Roller Cat Ajaib,18,35342C,3,12,9,2022,Laris
787136,488,483,Holder,20,21311C,5,12,9,2022,Sangat Laris
787136,230,220,Triplek 3mm,21,13041A,10,12,9,2022,Sangat Laris
787136,160,157,Vinillex,0,12211A,3,12,9,2022,Laris
787136,29,28,Inggris 6 Inch,8,10029B,1,12,9,2022,Laris
787136,88,83,seng 8,1,12221A,5,12,9,2022,Laris
787136,166,162,Jabesmen Gelombang Kecil (150 x 105),2,15283A,4,12,9,2022,Laris
787136,50,48,Tembaga,5,45678G,2,12,9,2022,Laris
787136,275,255,Eye Bolt,28,10033B,20,12,9,2022,Sangat Laris
787136,130,100,"PVC RUCIKA type AW 3/4""",13,10003B,30,12,9,2022,Laris
787136,128,123,Dextone Epoxy Adhesives,23,13221A,5,12,9,2022,Sangat Laris
787136,195,155,Beton 6mm,11,15372A,40,12,9,2022,Laris
787137,52,47,Tiga Roda,22,10006B,5,12,10,2022,Sangat Laris
787137,45,44,Zehn Sekop Gagang Kayu,3,10015B,1,12,10,2022,Laris
787137,32,27,"Readymix Beton K500, Tanpa Pompa",27,12311A,5,12,10,2022,Sangat Laris
787137,376,356,Triplek 6mm,21,87654C,20,12,10,2022,Sangat Laris
787137,10,9,Urug,26,18393A,1,12,10,2022,Sangat Laris
787137,162,157,Jabesmen Gelombang Kecil (150 x 105),2,15283A,5,12,10,2022,Laris
787137,30,28,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,2,12,10,2022,Sangat Laris
787137,3500,2000,Bata Merah Bakar kelas I,30,13823A,1500,12,10,2022,Sangat Laris
787137,47,42,Sirih,10,10023B,5,12,10,2022,Laris
787137,264,249, 2 Slaag Kuda Terbang,17,10028B,15,12,10,2022,Laris
787137,133,128,BJLS 30 Lebar 90cm,4,10026B,5,12,10,2022,Laris
787137,50,40,Reng (2 X3),12,67654C,10,12,10,2022,Laris
787137,23,18,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,5,12,10,2022,Laris
787137,28,27,Inggris 6 Inch,8,10029B,1,12,10,2022,Laris
787137,440,390,"beton 12,5",1,23456C,50,12,10,2022,Laris
787137,500,450,Murando Natural 1m2 = 18 bh,9,56546D,50,12,10,2022,Laris
787137,18,16,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,2,12,10,2022,Laris
